               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060701,            0.035609,                   0,             0.46728,             0.46285,             0.42103,              0.2311,            0.039597,            0.017143,                   0,            0.070024,           0.0033307,           0.0033307
                   1,            0.044854,            0.034575,                   0,             0.52337,             0.47231,             0.46546,             0.26898,            0.038064,            0.017241,                   0,            0.039991,            0.006631,            0.006631
                   2,            0.044628,            0.035142,                   0,             0.46936,             0.45528,             0.40874,              0.2334,            0.040105,            0.017508,                   0,           0.0099247,           0.0098984,           0.0098984
                   3,            0.044476,            0.035325,                   0,             0.46087,             0.47102,             0.40993,             0.23634,            0.038603,            0.017746,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.042587,            0.035229,                   0,             0.49932,             0.49642,             0.45173,             0.26372,            0.036572,            0.017008,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.041778,            0.035255,                   0,             0.44896,              0.4844,              0.4184,             0.23757,            0.036684,            0.017453,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.041217,              0.0341,                   0,              0.5113,              0.5077,             0.48489,             0.28619,            0.036076,              0.0168,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040639,            0.034302,                   0,             0.53975,             0.52389,             0.52164,             0.31586,            0.034831,            0.016456,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.040443,            0.034056,                   0,             0.56564,             0.53039,             0.54322,             0.32559,            0.034618,            0.016144,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039554,            0.033879,                   0,             0.54458,             0.54057,             0.53404,             0.32302,             0.03387,            0.016132,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.039581,            0.033429,                   0,             0.56177,             0.54643,             0.54459,              0.3287,            0.033712,            0.015827,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039178,            0.033205,                   0,             0.56894,             0.56168,               0.549,             0.33415,            0.032845,            0.015581,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.03896,            0.033238,                   0,             0.59239,              0.5587,             0.57145,             0.34629,            0.032999,            0.015581,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.039066,            0.033153,                   0,             0.57321,             0.57402,             0.57262,             0.35423,            0.032272,            0.015402,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.038517,            0.033084,                   0,             0.58895,             0.59432,             0.59268,             0.36986,            0.031827,            0.015165,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038328,             0.03249,                   0,             0.60116,             0.58537,             0.59813,             0.37116,            0.031447,            0.015087,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.038171,            0.032781,                   0,             0.60661,             0.60229,             0.60979,             0.38309,            0.031283,            0.014841,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037851,            0.032565,                   0,             0.60991,             0.60419,             0.61801,             0.39186,            0.030694,            0.014945,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.037501,            0.032057,                   0,             0.61909,             0.60843,             0.62722,              0.3982,            0.030618,            0.014776,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037454,            0.032473,                   0,             0.62422,              0.6233,              0.6371,             0.40555,             0.03032,            0.014576,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.036852,            0.032026,                   0,             0.64242,             0.61758,             0.65179,             0.41347,            0.030041,            0.014381,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03715,            0.032133,                   0,             0.64258,             0.62801,             0.65142,             0.41132,            0.029866,            0.014265,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.036975,            0.031729,                   0,             0.65837,             0.64061,             0.67223,             0.43062,            0.029482,            0.013966,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036727,            0.031745,                   0,             0.66189,             0.64356,              0.6772,             0.43706,            0.029265,            0.013963,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.037161,            0.031876,                   0,             0.65099,             0.65313,             0.67903,              0.4418,            0.029082,            0.013889,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.036554,            0.031606,                   0,             0.66485,             0.65417,             0.68714,             0.44412,            0.028829,            0.013726,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.036471,            0.031538,                   0,              0.6729,             0.66156,             0.70124,             0.45388,            0.028804,            0.013562,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.036422,            0.031187,                   0,             0.68615,             0.65584,             0.70357,             0.45808,              0.0285,            0.013495,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.036247,            0.031243,                   0,             0.68891,             0.66133,             0.70643,             0.46162,            0.028399,            0.013412,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.036276,            0.031307,                   0,             0.68512,             0.67045,             0.71315,             0.46745,            0.028113,            0.013309,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.035985,            0.031175,                   0,              0.6882,              0.6727,             0.71659,             0.47045,             0.02804,            0.013241,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.035949,            0.030828,                   0,             0.69525,              0.6793,             0.72581,             0.47882,            0.027691,             0.01314,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.035419,            0.030736,                   0,              0.7048,              0.6874,             0.73481,             0.48633,            0.027464,            0.012993,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.035865,            0.030912,                   0,             0.70965,             0.68686,             0.73846,             0.48885,            0.027384,            0.012906,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.035654,            0.030802,                   0,             0.71658,             0.69119,             0.74323,              0.4931,            0.027237,            0.012849,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.035308,            0.030523,                   0,              0.7164,             0.69646,             0.74723,             0.49699,            0.027102,            0.012778,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.035435,            0.030348,                   0,             0.72049,              0.7004,             0.75134,             0.50135,            0.026994,            0.012712,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035435,            0.030531,                   0,             0.72608,             0.70278,             0.75675,             0.50491,            0.026892,            0.012646,                   0,            0.008218,            0.008218,            0.008218
                  38,             0.03494,            0.030418,                   0,             0.72846,             0.70371,             0.75979,             0.50763,            0.026768,            0.012608,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035258,            0.030318,                   0,             0.73093,              0.7072,             0.76376,             0.51051,            0.026622,             0.01255,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.034622,            0.030175,                   0,             0.73647,             0.70684,             0.76652,             0.51339,            0.026539,            0.012506,                   0,           0.0080695,           0.0080695,           0.0080695
