               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075646,            0.045515,                   0,             0.62375,             0.53985,             0.57243,             0.24552,            0.046108,            0.020903,                   0,            0.070075,            0.003325,            0.003325
                   1,            0.056617,            0.040011,                   0,             0.64416,             0.60304,             0.62914,             0.28933,            0.043219,            0.020351,                   0,            0.040053,           0.0066364,           0.0066364
                   2,             0.05382,            0.039653,                   0,             0.67637,             0.61369,             0.65706,             0.29533,             0.04211,            0.021259,                   0,            0.010009,           0.0099257,           0.0099257
                   3,            0.052615,            0.040303,                   0,             0.67162,             0.61343,             0.66075,             0.31208,            0.040973,             0.02249,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.050094,            0.039016,                   0,              0.7882,             0.65931,             0.75171,             0.37616,            0.037957,            0.018885,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.048387,            0.038758,                   0,             0.78327,              0.6704,             0.75883,              0.3792,             0.03747,            0.019262,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.047739,            0.038164,                   0,             0.78427,             0.70506,             0.78845,             0.41172,            0.035534,             0.01849,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.046505,             0.03671,                   0,              0.8032,             0.68652,             0.78258,              0.4144,            0.035448,            0.017986,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.046431,            0.037324,                   0,             0.82374,             0.71012,             0.80319,             0.42321,            0.034972,             0.01805,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.045658,            0.036049,                   0,             0.78178,             0.70158,             0.77965,             0.42752,            0.035267,            0.018558,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.044918,            0.035855,                   0,             0.83611,             0.72343,             0.81743,              0.4579,            0.034135,            0.017741,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.044816,            0.036577,                   0,             0.82688,             0.73997,             0.83412,             0.45299,            0.033649,            0.016934,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.044328,            0.035181,                   0,             0.85573,             0.74694,             0.84546,             0.49179,            0.032348,            0.016816,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.044159,            0.035721,                   0,              0.8622,             0.75727,             0.85312,             0.49285,            0.032362,            0.016958,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.043966,            0.035616,                   0,             0.86203,             0.76054,             0.86217,             0.50207,              0.0311,            0.016465,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.043014,            0.034281,                   0,             0.86505,             0.76878,             0.86274,             0.51562,            0.030771,            0.016375,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.042963,            0.034106,                   0,             0.85892,             0.76436,             0.86028,             0.50927,             0.03114,            0.016203,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.042323,            0.033623,                   0,             0.86223,               0.778,             0.86787,              0.5128,            0.030968,            0.015987,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.042474,            0.034524,                   0,             0.84926,             0.76941,             0.86935,             0.52577,            0.030166,            0.015808,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.042187,             0.03404,                   0,             0.87261,             0.77867,             0.87481,             0.52435,            0.030523,            0.015865,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.041814,             0.03395,                   0,             0.86608,             0.79042,             0.87994,             0.53792,            0.029407,            0.015833,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.041813,            0.033933,                   0,             0.86356,             0.78659,              0.8791,             0.52569,            0.029745,            0.015579,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.041254,            0.033005,                   0,             0.87557,             0.79961,             0.89024,              0.5406,            0.029667,            0.015448,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.041425,             0.03284,                   0,             0.86301,              0.7785,             0.87365,             0.53046,            0.030186,            0.015607,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.040959,            0.033339,                   0,             0.89081,             0.79816,             0.89386,             0.55263,            0.029006,            0.015086,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.040914,            0.033031,                   0,             0.88225,             0.78319,             0.88209,              0.5266,            0.029748,            0.015374,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.040748,            0.033577,                   0,             0.89517,             0.80629,             0.90519,             0.56886,            0.028174,            0.014688,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.040543,            0.032518,                   0,             0.87692,              0.8094,             0.89885,             0.56211,            0.028512,            0.014845,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.040212,            0.033487,                   0,             0.89299,             0.82076,             0.90437,              0.5681,            0.027993,            0.014658,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.04004,            0.032226,                   0,             0.89922,             0.80587,             0.90503,              0.5758,            0.027944,            0.014532,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.040196,            0.032721,                   0,             0.88689,             0.81889,             0.90664,             0.58459,            0.027365,            0.014497,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.040099,            0.032642,                   0,             0.90038,             0.82085,             0.91202,             0.58499,            0.027384,            0.014494,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.040127,             0.03243,                   0,             0.89973,             0.81194,             0.91055,             0.58703,            0.027288,             0.01426,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.039822,            0.032184,                   0,             0.91169,             0.83129,              0.9191,             0.59588,            0.026896,            0.014178,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.03957,              0.0322,                   0,             0.90128,             0.83406,             0.91784,             0.59043,             0.02712,            0.014067,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.039575,            0.031733,                   0,             0.89284,             0.82358,             0.91414,             0.59347,            0.027177,            0.013995,                   0,            0.008878,            0.008878,            0.008878
                  36,              0.0396,            0.032468,                   0,             0.90451,             0.84257,             0.92436,             0.60256,            0.026622,            0.013787,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.039127,            0.031676,                   0,             0.90763,             0.84295,             0.92547,              0.6079,            0.026245,            0.013744,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.039226,            0.031344,                   0,             0.91313,             0.84442,             0.92881,             0.61275,            0.025954,             0.01365,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.039188,            0.031533,                   0,              0.9121,             0.84556,             0.92864,             0.60542,            0.026812,            0.013631,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.038947,            0.031608,                   0,             0.91117,             0.85278,             0.93289,             0.62271,             0.02584,            0.013405,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.038578,            0.030798,                   0,             0.91154,             0.85286,             0.93282,             0.61587,            0.026022,            0.013374,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.038751,            0.031505,                   0,             0.91823,              0.8499,             0.93211,             0.61918,            0.025947,            0.013475,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.038268,            0.030969,                   0,             0.92422,             0.85253,             0.93486,             0.62662,            0.025725,            0.013206,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.038138,            0.031493,                   0,             0.91781,             0.85628,             0.93753,              0.6315,            0.025177,            0.013077,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.038011,            0.031681,                   0,             0.91532,             0.85808,             0.93487,              0.6265,            0.025523,            0.013406,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.03807,            0.030741,                   0,             0.91507,             0.86101,             0.93589,                0.63,            0.025276,            0.013182,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.037933,            0.030417,                   0,             0.92901,             0.85961,             0.94187,              0.6323,            0.025346,            0.013048,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.037838,            0.030461,                   0,             0.92354,              0.8609,             0.93955,             0.63797,            0.025158,            0.013002,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.038124,            0.031098,                   0,             0.92493,             0.86737,              0.9424,             0.63804,            0.024861,            0.012905,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.037701,            0.030473,                   0,             0.92494,             0.87115,             0.94507,             0.64807,            0.024451,            0.012704,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.037501,            0.030416,                   0,             0.91956,             0.86752,             0.94043,             0.63869,            0.024909,             0.01289,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.037561,            0.030277,                   0,              0.9279,             0.86704,             0.94056,             0.64559,            0.024421,            0.012885,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.038073,            0.030388,                   0,             0.93405,             0.86974,             0.94569,              0.6549,             0.02406,            0.012598,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.037285,            0.030002,                   0,             0.93355,             0.87274,             0.94711,             0.65256,            0.024258,            0.012506,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.037407,            0.030366,                   0,             0.93313,             0.87275,             0.94808,             0.65657,            0.024175,            0.012473,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.037593,            0.030212,                   0,             0.93098,             0.86791,             0.94488,             0.65395,            0.024154,            0.012454,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.037031,             0.02978,                   0,             0.93354,             0.87491,             0.94778,              0.6576,            0.023863,            0.012411,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.037097,            0.030265,                   0,             0.93508,             0.88123,             0.95153,             0.66312,            0.023696,            0.012287,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.036911,            0.030546,                   0,             0.93652,             0.87606,             0.95082,             0.65904,            0.024189,            0.012286,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.036889,            0.030356,                   0,             0.93848,             0.88191,             0.95451,             0.66546,            0.024038,            0.012164,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.036732,            0.030017,                   0,             0.93832,             0.88479,             0.95489,             0.67226,            0.023508,            0.012055,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.036854,              0.0302,                   0,             0.93801,             0.88425,              0.9558,             0.66801,            0.023493,            0.012063,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.036703,            0.029804,                   0,              0.9403,             0.89118,             0.95729,             0.67687,            0.023313,            0.011868,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.036384,            0.029017,                   0,             0.93857,             0.88794,              0.9552,             0.67682,            0.023043,            0.011987,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.036157,            0.029389,                   0,             0.93786,             0.89188,             0.95723,             0.68102,            0.022982,            0.011868,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.03626,            0.029149,                   0,             0.94361,             0.88613,             0.95696,             0.67731,            0.022957,            0.011877,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.036365,            0.029083,                   0,             0.94324,             0.88923,             0.95773,             0.68331,            0.022862,            0.011675,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.035927,            0.028597,                   0,             0.94069,             0.88687,             0.95739,             0.68239,            0.022825,            0.011717,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.035944,             0.02907,                   0,             0.94368,             0.89086,             0.95888,             0.68625,            0.022625,            0.011672,                   0,            0.007756,            0.007756,            0.007756
